freq,psd,channel,stem,participant,condition
33.0,0.4149637115425659,Pz,7103 amo,7103,amo
33.5,0.3876506554277418,Pz,7103 amo,7103,amo
34.0,0.3734281785163835,Pz,7103 amo,7103,amo
34.5,0.3628930377700179,Pz,7103 amo,7103,amo
35.0,0.3393021166069947,Pz,7103 amo,7103,amo
35.5,0.29970977509870217,Pz,7103 amo,7103,amo
36.0,0.2892097262177578,Pz,7103 amo,7103,amo
36.5,0.31430758126584485,Pz,7103 amo,7103,amo
37.0,0.28872288519124445,Pz,7103 amo,7103,amo
37.5,0.29663271998962265,Pz,7103 amo,7103,amo
38.0,0.34149200837658844,Pz,7103 amo,7103,amo
38.5,0.3075057070179666,Pz,7103 amo,7103,amo
39.0,0.2805021972111006,Pz,7103 amo,7103,amo
39.5,0.26455793338026057,Pz,7103 amo,7103,amo
40.0,0.2580926741202651,Pz,7103 amo,7103,amo
1.0,92.25796463268578,Fz,7103 aut,7103,aut
1.5,42.1219885671498,Fz,7103 aut,7103,aut
2.0,18.801985645532984,Fz,7103 aut,7103,aut
2.5,12.477853515985174,Fz,7103 aut,7103,aut
3.0,10.145297047278989,Fz,7103 aut,7103,aut
3.5,9.848049540041789,Fz,7103 aut,7103,aut
4.0,9.329889847178096,Fz,7103 aut,7103,aut
4.5,5.952157252147344,Fz,7103 aut,7103,aut
5.0,6.618744426223704,Fz,7103 aut,7103,aut
5.5,6.891222068720702,Fz,7103 aut,7103,aut
6.0,6.4044445692693746,Fz,7103 aut,7103,aut
6.5,7.9728860337867165,Fz,7103 aut,7103,aut
7.0,6.107713278053476,Fz,7103 aut,7103,aut
7.5,5.045732563477159,Fz,7103 aut,7103,aut
8.0,5.0786955543400545,Fz,7103 aut,7103,aut
8.5,4.487787441319956,Fz,7103 aut,7103,aut
9.0,4.608024152238229,Fz,7103 aut,7103,aut
9.5,4.407621543404654,Fz,7103 aut,7103,aut
10.0,3.785168588052389,Fz,7103 aut,7103,aut
10.5,3.4489346458796795,Fz,7103 aut,7103,aut
11.0,3.680335931275455,Fz,7103 aut,7103,aut
11.5,3.927900327413243,Fz,7103 aut,7103,aut
12.0,4.005071686958658,Fz,7103 aut,7103,aut
12.5,4.2631677201345894,Fz,7103 aut,7103,aut
13.0,3.036189218634808,Fz,7103 aut,7103,aut
13.5,3.00609368593668,Fz,7103 aut,7103,aut
14.0,2.663193475299869,Fz,7103 aut,7103,aut
14.5,2.4858433516158116,Fz,7103 aut,7103,aut
15.0,2.4712431185133092,Fz,7103 aut,7103,aut
15.5,2.5105503674862417,Fz,7103 aut,7103,aut
16.0,2.766160407397496,Fz,7103 aut,7103,aut
16.5,2.6571591325679447,Fz,7103 aut,7103,aut
17.0,2.6325457765102898,Fz,7103 aut,7103,aut
17.5,2.5625280843337563,Fz,7103 aut,7103,aut
18.0,2.8706296268618376,Fz,7103 aut,7103,aut
18.5,3.5765331699529987,Fz,7103 aut,7103,aut
19.0,2.566887776714387,Fz,7103 aut,7103,aut
19.5,2.4205674450221486,Fz,7103 aut,7103,aut
20.0,2.2787281318506327,Fz,7103 aut,7103,aut
20.5,2.146299543466863,Fz,7103 aut,7103,aut
21.0,2.0086068145438767,Fz,7103 aut,7103,aut
21.5,1.8063950789918644,Fz,7103 aut,7103,aut
22.0,1.6704946368927582,Fz,7103 aut,7103,aut
22.5,1.4943264372080634,Fz,7103 aut,7103,aut
23.0,1.46524514780179,Fz,7103 aut,7103,aut
23.5,1.4487088610905021,Fz,7103 aut,7103,aut
24.0,1.3960960621897363,Fz,7103 aut,7103,aut
24.5,1.4170665558457862,Fz,7103 aut,7103,aut
25.0,1.1541633109063045,Fz,7103 aut,7103,aut
25.5,1.05208313401035,Fz,7103 aut,7103,aut
26.0,0.9730409759787815,Fz,7103 aut,7103,aut
26.5,1.002310341442956,Fz,7103 aut,7103,aut
27.0,0.9484057899645677,Fz,7103 aut,7103,aut
27.5,0.7891790760654027,Fz,7103 aut,7103,aut
28.0,0.830980568106484,Fz,7103 aut,7103,aut
28.5,0.7854022156823575,Fz,7103 aut,7103,aut
29.0,0.6988677719743736,Fz,7103 aut,7103,aut
29.5,0.6906912992280145,Fz,7103 aut,7103,aut
30.0,0.6630876292205562,Fz,7103 aut,7103,aut
30.5,0.5952106527680272,Fz,7103 aut,7103,aut
31.0,0.5809647099538013,Fz,7103 aut,7103,aut
31.5,0.5874489320076726,Fz,7103 aut,7103,aut
32.0,0.5758750494033318,Fz,7103 aut,7103,aut
32.5,0.5288363620189662,Fz,7103 aut,7103,aut
33.0,0.5347340397845466,Fz,7103 aut,7103,aut
33.5,0.5175959326385743,Fz,7103 aut,7103,aut
34.0,0.5070666808344613,Fz,7103 aut,7103,aut
34.5,0.5026981923033963,Fz,7103 aut,7103,aut
35.0,0.44700773066175037,Fz,7103 aut,7103,aut
35.5,0.45410185440509265,Fz,7103 aut,7103,aut
36.0,0.4533870627861115,Fz,7103 aut,7103,aut
36.5,0.4976571998790488,Fz,7103 aut,7103,aut
37.0,0.4112054601229695,Fz,7103 aut,7103,aut
37.5,0.41545735609029827,Fz,7103 aut,7103,aut
38.0,0.48627892199516504,Fz,7103 aut,7103,aut
38.5,0.4325423942293962,Fz,7103 aut,7103,aut
39.0,0.45436022638317547,Fz,7103 aut,7103,aut
39.5,0.42050575600377227,Fz,7103 aut,7103,aut
40.0,0.3657881375612786,Fz,7103 aut,7103,aut
1.0,47.175737720690435,Pz,7103 aut,7103,aut
1.5,28.722807970579204,Pz,7103 aut,7103,aut
2.0,15.9711609162401,Pz,7103 aut,7103,aut
2.5,12.021353425597749,Pz,7103 aut,7103,aut
3.0,8.629812677087624,Pz,7103 aut,7103,aut
3.5,7.927634644834224,Pz,7103 aut,7103,aut
4.0,9.059574813708876,Pz,7103 aut,7103,aut
4.5,6.0740078543322875,Pz,7103 aut,7103,aut
5.0,7.18818722538439,Pz,7103 aut,7103,aut
5.5,7.480426771506244,Pz,7103 aut,7103,aut
6.0,6.075661488613101,Pz,7103 aut,7103,aut
6.5,7.551383185050584,Pz,7103 aut,7103,aut
7.0,6.574592017175388,Pz,7103 aut,7103,aut
7.5,6.496121727653985,Pz,7103 aut,7103,aut
8.0,6.602311543536874,Pz,7103 aut,7103,aut
8.5,5.673278029982677,Pz,7103 aut,7103,aut
9.0,5.400244948831041,Pz,7103 aut,7103,aut
9.5,5.161004207834296,Pz,7103 aut,7103,aut
10.0,5.122036082910939,Pz,7103 aut,7103,aut
10.5,5.347290097965185,Pz,7103 aut,7103,aut
11.0,5.816192686716044,Pz,7103 aut,7103,aut
11.5,6.970083860050273,Pz,7103 aut,7103,aut
12.0,7.794035247463566,Pz,7103 aut,7103,aut
12.5,6.898590186162296,Pz,7103 aut,7103,aut
13.0,5.510118856882856,Pz,7103 aut,7103,aut
13.5,4.764201162465042,Pz,7103 aut,7103,aut
14.0,3.9119499551747703,Pz,7103 aut,7103,aut
14.5,3.8758036992376526,Pz,7103 aut,7103,aut
15.0,3.744306983424231,Pz,7103 aut,7103,aut
15.5,3.5871584370277505,Pz,7103 aut,7103,aut
16.0,3.6786214630472105,Pz,7103 aut,7103,aut
16.5,3.4830453514168394,Pz,7103 aut,7103,aut
17.0,3.511049741208692,Pz,7103 aut,7103,aut
17.5,3.55437885500235,Pz,7103 aut,7103,aut
18.0,3.545039963137505,Pz,7103 aut,7103,aut
18.5,3.5716621472908123,Pz,7103 aut,7103,aut
19.0,3.113812710117759,Pz,7103 aut,7103,aut
19.5,3.060642440428761,Pz,7103 aut,7103,aut
20.0,3.065120994361673,Pz,7103 aut,7103,aut
20.5,2.8823474577932737,Pz,7103 aut,7103,aut
21.0,2.5412704155558896,Pz,7103 aut,7103,aut
21.5,2.3427405085203037,Pz,7103 aut,7103,aut
22.0,2.2036160807043075,Pz,7103 aut,7103,aut
22.5,1.9684401952750699,Pz,7103 aut,7103,aut
23.0,1.9215410506450952,Pz,7103 aut,7103,aut
23.5,1.770037058477845,Pz,7103 aut,7103,aut
24.0,1.537169844376395,Pz,7103 aut,7103,aut
24.5,1.524022722816364,Pz,7103 aut,7103,aut
25.0,1.2398595653080318,Pz,7103 aut,7103,aut
25.5,1.1249470085911017,Pz,7103 aut,7103,aut
26.0,1.0478126150178788,Pz,7103 aut,7103,aut
26.5,1.0022063038779443,Pz,7103 aut,7103,aut
27.0,1.0282309065408373,Pz,7103 aut,7103,aut
27.5,0.8292620060845693,Pz,7103 aut,7103,aut
28.0,0.7829686343863025,Pz,7103 aut,7103,aut
28.5,0.7291379484202428,Pz,7103 aut,7103,aut
29.0,0.6706031789214538,Pz,7103 aut,7103,aut
29.5,0.6267470383144481,Pz,7103 aut,7103,aut
30.0,0.5681447805073435,Pz,7103 aut,7103,aut
30.5,0.5434721023818139,Pz,7103 aut,7103,aut
31.0,0.5582318557466391,Pz,7103 aut,7103,aut
31.5,0.559310514921974,Pz,7103 aut,7103,aut
32.0,0.5192350038374848,Pz,7103 aut,7103,aut
32.5,0.4763542010219598,Pz,7103 aut,7103,aut
33.0,0.4838142259051045,Pz,7103 aut,7103,aut
33.5,0.4611990968142648,Pz,7103 aut,7103,aut
34.0,0.43077515185810883,Pz,7103 aut,7103,aut
34.5,0.42864313872970017,Pz,7103 aut,7103,aut
35.0,0.4115759587850786,Pz,7103 aut,7103,aut
35.5,0.396041778502383,Pz,7103 aut,7103,aut
36.0,0.42284178399874434,Pz,7103 aut,7103,aut
36.5,0.41371200542539766,Pz,7103 aut,7103,aut
37.0,0.3712608001028465,Pz,7103 aut,7103,aut
37.5,0.3906445954834997,Pz,7103 aut,7103,aut
38.0,0.3992449186040687,Pz,7103 aut,7103,aut
38.5,0.3799885551627586,Pz,7103 aut,7103,aut
39.0,0.3782737501267109,Pz,7103 aut,7103,aut
39.5,0.38040912894513157,Pz,7103 aut,7103,aut
40.0,0.354117889298255,Pz,7103 aut,7103,aut
1.0,69.21339203476336,Fz,7104 amo,7104,amo
1.5,36.171823338304506,Fz,7104 amo,7104,amo
2.0,14.628578675545826,Fz,7104 amo,7104,amo
2.5,8.398116427181318,Fz,7104 amo,7104,amo
3.0,8.324409567185182,Fz,7104 amo,7104,amo
3.5,7.1149176763431505,Fz,7104 amo,7104,amo
4.0,5.622630326338743,Fz,7104 amo,7104,amo
4.5,4.790889185603961,Fz,7104 amo,7104,amo
5.0,3.6788060066986867,Fz,7104 amo,7104,amo
5.5,3.496418322029059,Fz,7104 amo,7104,amo
6.0,3.942982666420735,Fz,7104 amo,7104,amo
6.5,4.023559411432653,Fz,7104 amo,7104,amo
